[TICK 685] running=0 | ready=49 | finished=1
[TICK 690] running=0 | ready=49 | finished=1
[TICK 695] running=0 | ready=49 | finished=1
[TICK 700] running=0 | ready=49 | finished=1
[TICK 705] running=0 | ready=49 | finished=1
[TICK 710] running=0 | ready=49 | finished=1
[TICK 715] running=0 | ready=49 | finished=1
[TICK 720] running=0 | ready=49 | finished=1
[TICK 725] running=0 | ready=49 | finished=1
[TICK 730] running=0 | ready=49 | finished=1
[TICK 735] running=0 | ready=49 | finished=1
[TICK 740] running=0 | ready=49 | finished=1
[TICK 745] running=0 | ready=49 | finished=1
[TICK 750] running=0 | ready=49 | finished=1
[TICK 755] running=0 | ready=49 | finished=1
[TICK 760] running=0 | ready=49 | finished=1
[TICK 765] running=0 | ready=49 | finished=1
[TICK 770] running=0 | ready=49 | finished=1
[TICK 775] running=0 | ready=49 | finished=1
[TICK 780] running=0 | ready=49 | finished=1
[TICK 785] running=0 | ready=49 | finished=1
[TICK 790] running=0 | ready=49 | finished=1
[TICK 795] running=0 | ready=49 | finished=1
[TICK 800] running=0 | ready=49 | finished=1
[TICK 805] running=0 | ready=49 | finished=1
[TICK 810] running=0 | ready=49 | finished=1
[TICK 815] running=0 | ready=49 | finished=1
[TICK 820] running=0 | ready=49 | finished=1
[TICK 825] running=0 | ready=49 | finished=1
[TICK 830] running=0 | ready=49 | finished=1
[TICK 835] running=0 | ready=49 | finished=1
[TICK 840] running=0 | ready=49 | finished=1
[TICK 845] running=0 | ready=49 | finished=1
[TICK 850] running=0 | ready=49 | finished=1
[TICK 855] running=0 | ready=49 | finished=1
[TICK 860] running=0 | ready=49 | finished=1
[TICK 865] running=0 | ready=49 | finished=1
[TICK 870] running=0 | ready=49 | finished=1
[TICK 875] running=0 | ready=49 | finished=1
[TICK 880] running=0 | ready=49 | finished=1
[TICK 885] running=0 | ready=49 | finished=1
[TICK 890] running=0 | ready=49 | finished=1
[TICK 895] running=0 | ready=49 | finished=1
[TICK 900] running=0 | ready=49 | finished=1
[TICK 905] running=0 | ready=49 | finished=1
[TICK 910] running=0 | ready=49 | finished=1
[TICK 915] running=0 | ready=49 | finished=1
[TICK 920] running=0 | ready=49 | finished=1
[TICK 925] running=0 | ready=49 | finished=1
ID:944 Nombre:Miner Prioridad:10 Estado:3 Fecha:02/07/2025 Tiempo:0
[TICK 930] running=0 | ready=48 | finished=2
[TICK 935] running=0 | ready=48 | finished=2
[TICK 940] running=0 | ready=48 | finished=2
[TICK 945] running=0 | ready=48 | finished=2
ID:902 Nombre:MLTask Prioridad:10 Estado:3 Fecha:03/06/2025 Tiempo:0
[TICK 950] running=0 | ready=47 | finished=3
[TICK 955] running=0 | ready=47 | finished=3
[TICK 960] running=0 | ready=47 | finished=3
[TICK 965] running=0 | ready=47 | finished=3
[TICK 970] running=0 | ready=47 | finished=3
[TICK 975] running=0 | ready=47 | finished=3
ID:9999 Nombre:Heuristico Prioridad:10 Estado:3 Fecha:05/07/2025 Tiempo:0
[TICK 980] running=0 | ready=46 | finished=4
[TICK 985] running=0 | ready=46 | finished=4
[TICK 990] running=0 | ready=46 | finished=4
[TICK 995] running=0 | ready=46 | finished=4
[TICK 1000] running=0 | ready=46 | finished=4
[TICK 1005] running=0 | ready=46 | finished=4
[TICK 1010] running=0 | ready=46 | finished=4
[TICK 1015] running=0 | ready=46 | finished=4
[TICK 1020] running=0 | ready=46 | finished=4
[TICK 1025] running=0 | ready=46 | finished=4
[TICK 1030] running=0 | ready=46 | finished=4
[TICK 1035] running=0 | ready=46 | finished=4
[TICK 1040] running=0 | ready=46 | finished=4
[TICK 1045] running=0 | ready=46 | finished=4
[TICK 1050] running=0 | ready=46 | finished=4
[TICK 1055] running=0 | ready=46 | finished=4
[TICK 1060] running=0 | ready=46 | finished=4
[TICK 1065] running=0 | ready=46 | finished=4
[TICK 1070] running=0 | ready=46 | finished=4
[TICK 1075] running=0 | ready=46 | finished=4
[TICK 1080] running=0 | ready=46 | finished=4
[TICK 1085] running=0 | ready=46 | finished=4
[TICK 1090] running=0 | ready=46 | finished=4
[TICK 1095] running=0 | ready=46 | finished=4
[TICK 1100] running=0 | ready=46 | finished=4
[TICK 1105] running=0 | ready=46 | finished=4
[TICK 1110] running=0 | ready=46 | finished=4
[TICK 1115] running=0 | ready=46 | finished=4
[TICK 1120] running=0 | ready=46 | finished=4
[TICK 1125] running=0 | ready=46 | finished=4
[TICK 1130] running=0 | ready=46 | finished=4
[TICK 1135] running=0 | ready=46 | finished=4
[TICK 1140] running=0 | ready=46 | finished=4
[TICK 1145] running=0 | ready=46 | finished=4
[TICK 1150] running=0 | ready=46 | finished=4
[TICK 1155] running=0 | ready=46 | finished=4
[TICK 1160] running=0 | ready=46 | finished=4
[TICK 1165] running=0 | ready=46 | finished=4
[TICK 1170] running=0 | ready=46 | finished=4
[TICK 1175] running=0 | ready=46 | finished=4
[TICK 1180] running=0 | ready=46 | finished=4
[TICK 1185] running=0 | ready=46 | finished=4
[TICK 1190] running=0 | ready=46 | finished=4
[TICK 1195] running=0 | ready=46 | finished=4
[TICK 1200] running=0 | ready=46 | finished=4
[TICK 1205] running=0 | ready=46 | finished=4
[TICK 1210] running=0 | ready=46 | finished=4
[TICK 1215] running=0 | ready=46 | finished=4
[TICK 1220] running=0 | ready=46 | finished=4
[TICK 1225] running=0 | ready=46 | finished=4
[TICK 1230] running=0 | ready=46 | finished=4
[TICK 1235] running=0 | ready=46 | finished=4
[TICK 1240] running=0 | ready=46 | finished=4
[TICK 1245] running=0 | ready=46 | finished=4
[TICK 1250] running=0 | ready=46 | finished=4
[TICK 1255] running=0 | ready=46 | finished=4
[TICK 1260] running=0 | ready=46 | finished=4
[TICK 1265] running=0 | ready=46 | finished=4
[TICK 1270] running=0 | ready=46 | finished=4
[TICK 1275] running=0 | ready=46 | finished=4
[TICK 1280] running=0 | ready=46 | finished=4
[TICK 1285] running=0 | ready=46 | finished=4
[TICK 1290] running=0 | ready=46 | finished=4
[TICK 1295] running=0 | ready=46 | finished=4
[TICK 1300] running=0 | ready=46 | finished=4
[TICK 1305] running=0 | ready=46 | finished=4
[TICK 1310] running=0 | ready=46 | finished=4
[TICK 1315] running=0 | ready=46 | finished=4
[TICK 1320] running=0 | ready=46 | finished=4
[TICK 1325] running=0 | ready=46 | finished=4
[TICK 1330] running=0 | ready=46 | finished=4
[TICK 1335] running=0 | ready=46 | finished=4
[TICK 1340] running=0 | ready=46 | finished=4
[TICK 1345] running=0 | ready=46 | finished=4
[TICK 1350] running=0 | ready=46 | finished=4
[TICK 1355] running=0 | ready=46 | finished=4
[TICK 1360] running=0 | ready=46 | finished=4
[TICK 1365] running=0 | ready=46 | finished=4
[TICK 1370] running=0 | ready=46 | finished=4
[TICK 1375] running=0 | ready=46 | finished=4
[TICK 1380] running=0 | ready=46 | finished=4
[TICK 1385] running=0 | ready=46 | finished=4
[TICK 1390] running=0 | ready=46 | finished=4
[TICK 1395] running=0 | ready=46 | finished=4
